"Status","Species.Listing.Name","kingdom","organism","species","rank","class","taxonkey"
"E","Butterfly, callippe silverspotÂ Wherever found                          (Speyeria callippe callippe)","animal","Butterfly","Speyeria callippe callippe","SUBSPECIES","Insecta",1905267
"E","Butterfly, Behren's silverspotÂ Wherever found                          (Speyeria zerene behrensii)","animal","Butterfly","Speyeria zerene behrensii","SUBSPECIES","Insecta",1905281
"T","Butterfly, Oregon silverspotÂ Wherever found                          (Speyeria zerene hippolyta)","animal","Butterfly","Speyeria zerene hippolyta","SUBSPECIES","Insecta",1905281
"E","Butterfly, Myrtle's silverspotÂ Wherever found                          (Speyeria zerene myrtleae)","animal","Butterfly","Speyeria zerene myrtleae","SUBSPECIES","Insecta",1905281
"E","Chub, Owens TuiÂ Wherever found                          (Gila bicolor ssp. snyderi)","animal","Chub","Gila bicolor snyderi","SUBSPECIES","Actinopterygii",8197854
"E","Chub, bonytailÂ Wherever found                          (Gila elegans)","animal","Chub","Gila elegans","SPECIES","Actinopterygii",2360109
"E","Condor, CaliforniaÂ U.S.A. only, except where listed as an experimental population                          (Gymnogyps californianus)","animal","Condor","Gymnogyps californianus","SPECIES","Aves",2481920
"E","Crayfish, ShastaÂ Wherever found                          (Pacifastacus fortis)","animal","Crayfish","Pacifastacus fortis","SPECIES","Malacostraca",2226989
"T","Cuckoo, yellow-billedÂ Western U.S. DPS                          (Coccyzus americanus)","animal","Cuckoo","Coccyzus americanus","SPECIES","Aves",2496287
"E","Fairy shrimp, ConservancyÂ Wherever found                          (Branchinecta conservatio)","animal","Fairy shrimp","Branchinecta conservatio","SPECIES","Branchiopoda",2235369
"E","Fairy shrimp, longhornÂ Wherever found                          (Branchinecta longiantenna)","animal","Fairy shrimp","Branchinecta longiantenna","SPECIES","Branchiopoda",2235355
"T","Fairy shrimp, vernal poolÂ Wherever found                          (Branchinecta lynchi)","animal","Fairy shrimp","Branchinecta lynchi","SPECIES","Branchiopoda",2235372
"E","Fairy shrimp, San DiegoÂ Wherever found                          (Branchinecta sandiegonensis)","animal","Fairy shrimp","Branchinecta sandiegonensis","SPECIES","Branchiopoda",2235356
"E","Fairy shrimp, RiversideÂ Wherever found                          (Streptocephalus woottoni)","animal","Fairy shrimp","Streptocephalus woottoni","SPECIES","Branchiopoda",2235165
"E","Fly, Delhi Sands flower-lovingÂ Wherever found                          (Rhaphiomidas terminatus abdominalis)","animal","Fly","Rhaphiomidas terminatus abdominalis","SPECIES","Insecta",1591138
"E","Flycatcher, southwestern willowÂ Wherever found                          (Empidonax traillii extimus)","animal","Flycatcher","Empidonax traillii extimus","SUBSPECIES","Aves",2482786
"T","Fox, Santa Catalina IslandÂ Wherever found                          (Urocyon littoralis catalinae)","animal","Fox","Urocyon littoralis catalinae","SUBSPECIES","Mammalia",2434559
"E","Fox, San Joaquin kitÂ wherever found                          (Vulpes macrotis mutica)","animal","Fox","Vulpes macrotis mutica","SUBSPECIES","Mammalia",5219311
"T","Frog, California red-leggedÂ Wherever found                          (Rana draytonii)","animal","Frog","Rana draytonii","SPECIES","Amphibia",2426756
"E","Frog, mountain yellow-leggedÂ Northern California DPS                          (Rana muscosa)","animal","Frog","Rana muscosa","SPECIES","Amphibia",2426791
"E","Frog, mountain yellow-leggedÂ Southern California DPS                          (Rana muscosa)","animal","Frog","Rana muscosa","SPECIES","Amphibia",2426791
"T","Frog, Oregon spottedÂ Wherever found                          (Rana pretiosa)","animal","Frog","Rana pretiosa","SPECIES","Amphibia",2426776
"E","Frog, Sierra Nevada Yellow-leggedÂ Wherever found                          (Rana sierrae)","animal","Frog","Rana sierrae","SPECIES","Amphibia",2426754
