,Status,Species/Listing Name,animal,sp_name,alt_name
52,T,"Moth, Kern primrose sphinxÂ Wherever found                          (Euproserpinus euterpe)",Moth,Euproserpinus euterpe,
53,E,"Mountain beaver, Point ArenaÂ Wherever found                          (Aplodontia rufa nigra)",Mountain beaver,Aplodontia rufa nigra,
54,E,"Mouse, Pacific pocketÂ Wherever found                          (Perognathus longimembris pacificus)",Mouse,Perognathus longimembris pacificus,
55,E,"Mouse, salt marsh harvestÂ wherever found                          (Reithrodontomys raviventris)",Mouse,Reithrodontomys raviventris,
56,T,"Murrelet, marbledÂ U.S.A. (CA, OR, WA)                          (Brachyramphus marmoratus)",Murrelet,Brachyramphus marmoratus,
57,T,"Otter, southern seaÂ Wherever found                          (Enhydra lutris nereis)",Otter,Enhydra lutris nereis,
58,T,"Owl, northern spottedÂ Wherever found                          (Strix occidentalis caurina)",Owl,Strix occidentalis caurina,
59,E,"Pikeminnow (=squawfish), ColoradoÂ Wherever found, except where listed as an experimental population                          (Ptychocheilus lucius)",Pikeminnow (=squawfish),Ptychocheilus lucius,
60,T,"Plover, western snowyÂ Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)                          (Charadrius alexandrinus nivosus)",Plover,Charadrius alexandrinus nivosus,
61,E,"Pupfish, desertÂ Wherever found                          (Cyprinodon macularius)",Pupfish,Cyprinodon macularius,
62,E,"Pupfish, OwensÂ Wherever found                          (Cyprinodon radiosus)",Pupfish,Cyprinodon radiosus,
63,E,"Rabbit, riparian brushÂ Wherever found                          (Sylvilagus bachmani riparius)",Rabbit,Sylvilagus bachmani riparius,
64,E,"Rail, California clapperÂ Wherever found                          (Rallus longirostris obsoletus)",Rail,Rallus longirostris obsoletus,
65,E,"Rail, light-footed clapperÂ Wherever found                          (Rallus longirostris levipes)",Rail,Rallus longirostris levipes,
66,E,"Rail, Yuma clapperÂ Wherever found                          (Rallus longirostris yumanensis)",Rail,Rallus longirostris yumanensis,
67,E,"Salamander, California tigerÂ U.S.A. (CA - Santa Barbara County)                          (Ambystoma californiense)",Salamander,Ambystoma californiense,
68,E,"Salamander, California tigerÂ U.S.A. (CA - Sonoma County)                          (Ambystoma californiense)",Salamander,Ambystoma californiense,
69,T,"Salamander, California tigerÂ U.S.A. (Central CA DPS)                          (Ambystoma californiense)",Salamander,Ambystoma californiense,
70,E,"Salamander, desert slenderÂ Wherever found                          (Batrachoseps aridus)",Salamander,Batrachoseps aridus,
71,E,"Salamander, Santa Cruz long-toedÂ Wherever found                          (Ambystoma macrodactylum croceum)",Salamander,Ambystoma macrodactylum croceum,
72,T,"Salmon, ChinookÂ California Coastal ESU                          (Oncorhynchus (=Salmo) tshawytscha)",Salmon,Oncorhynchus tshawytscha,Salmo tshawytscha
73,E,"Salmon, cohoÂ Central California Coast ESU                          (Oncorhynchus (=Salmo) kisutch)",Salmon,Oncorhynchus kisutch,Salmo kisutch
74,T,"Salmon, cohoÂ Southern Oregon - Northern California Coast ESU                          (Oncorhynchus (=Salmo) kisutch)",Salmon,Oncorhynchus kisutch,Salmo kisutch
75,T,"Seal, Guadalupe furÂ Wherever found                          (Arctocephalus townsendi)",Seal,Arctocephalus townsendi,
76,E,"Sea turtle, leatherbackÂ Wherever found                          (Dermochelys coriacea)",Sea turtle,Dermochelys coriacea,
77,T,"Sea turtle, olive ridleyÂ Except where endangered                          (Lepidochelys olivacea)",Sea turtle,Lepidochelys olivacea,
78,E,"Sheep, Peninsular bighornÂ Peninsular CA pop.                          (Ovis canadensis nelsoni)",Sheep,Ovis canadensis nelsoni,
79,E,"Sheep, Sierra Nevada bighornÂ Sierra Nevada                          (Ovis canadensis sierrae)",Sheep,Ovis canadensis sierrae,
80,E,"Shrew, Buena Vista Lake ornateÂ Wherever found                          (Sorex ornatus relictus)",Shrew,Sorex ornatus relictus,
81,E,"Shrike, San Clemente loggerheadÂ Wherever found                          (Lanius ludovicianus mearnsi)",Shrike,Lanius ludovicianus mearnsi,
82,E,"Shrimp, California freshwaterÂ Wherever found                          (Syncaris pacifica)",Shrimp,Syncaris pacifica,
83,E,"Skipper, Carson wanderingÂ Wherever found                          (Pseudocopaeodes eunus obscurus)",Skipper,Pseudocopaeodes eunus obscurus,
84,E,"Skipper, Laguna MountainsÂ Wherever found                          (Pyrgus ruralis lagunae)",Skipper,Pyrgus ruralis lagunae,
85,T,"Smelt, deltaÂ Wherever found                          (Hypomesus transpacificus)",Smelt,Hypomesus transpacificus,
86,E,"Snail, Morro shoulderband (=Banded dune)Â Wherever found                          (Helminthoglypta walkeriana)",Snail,Helminthoglypta walkeriana,
87,T,"Snake, giant garterÂ Wherever found                          (Thamnophis gigas)",Snake,Thamnophis gigas,
88,E,"Snake, San Francisco garterÂ Wherever found                          (Thamnophis sirtalis tetrataenia)",Snake,Thamnophis sirtalis tetrataenia,
89,T,"Sparrow, San Clemente sageÂ Wherever found                          (Amphispiza belli clementeae)",Sparrow,Amphispiza belli clementeae,
90,T,SteelheadÂ Central California Coast DPS                          (Oncorhynchus (=Salmo) mykiss),Steelhead,Oncorhynchus mykiss,Salmo mykiss
